wavelength,fractal_dimension,fraction_of_coating,equi_mobility_dia,mie_epsilon,length_scale_factor,m_real_bc,m_im_bc,m_real_organics,m_im_organics,volume_total,volume_bc,volume_organics,density_bc,density_organics,mass_bc,mass_organics,mass_total,mr_total/bc,mr_nonBC/BC,q_ext,q_abs,q_sca,g,c_geo,c_ext,c_abs,c_sca,ssa,mac_total,mac_bc,mac_organics
660,1.5,0,189.0014035,2,0.095199777,2,0.63,1.47,0,819955.6826,819955.6826,0,1.5,1.1,1.23E-15,0,1.23E-15,1,0,0.55449,0.51674,0.037754,0.32502,10591.3435,0.005872794,0.005472971,0.000399866,0.068087792,4.44981028,4.44981028,0
660,1.5,0,195.5404067,2,0.095199777,2,0.63,1.47,0,876504.3504,876504.3504,0,1.5,1.1,1.31E-15,0,1.31E-15,1,0,0.56782,0.52807,0.03975,0.33088,11072.86956,0.006287397,0.00584725,0.000440147,0.070004579,4.447401564,4.447401564,0
660,1.5,0,204.9728303,2,0.095199777,2,0.63,1.47,0,961327.352,961327.352,0,1.5,1.1,1.44E-15,0,1.44E-15,1,0,0.58699,0.54454,0.042446,0.3417,11776.19529,0.006912509,0.006412609,0.000499852,0.072311283,4.447052208,4.447052208,0
660,1.5,0,211.0358926,2,0.095199777,2,0.63,1.47,0,1017876.02,1017876.02,0,1.5,1.1,1.53E-15,0,1.53E-15,1,0,0.59915,0.55502,0.044133,0.34893,12233.59377,0.007329758,0.006789889,0.000539905,0.073659351,4.447096425,4.447096425,0
660,1.5,0,219.8290078,2,0.095199777,2,0.63,1.47,0,1102699.021,1102699.021,0,1.5,1.1,1.65E-15,0,1.65E-15,1,0,0.61665,0.57074,0.045911,0.36501,12904.13187,0.007957333,0.007364904,0.000592442,0.074452282,4.45265304,4.45265304,0
660,1.5,0,228.2964658,2,0.095199777,2,0.63,1.47,0,1187522.023,1187522.023,0,1.5,1.1,1.78E-15,0,1.78E-15,1,0,0.63294,0.5846,0.048349,0.3728,13557.67591,0.008581195,0.007925817,0.0006555,0.076387967,4.449499145,4.449499145,0
660,1.5,0,236.4723854,2,0.095199777,2,0.63,1.47,0,1272345.025,1272345.025,0,1.5,1.1,1.91E-15,0,1.91E-15,1,0,0.64743,0.5973,0.050135,0.38591,14195.82806,0.009190805,0.008479168,0.000711708,0.077436943,4.442803345,4.442803345,0
660,1.5,0,249.5265445,2,0.095199777,2,0.63,1.47,0,1413716.694,1413716.694,0,1.5,1.1,2.12E-15,0,2.12E-15,1,0,0.6729,0.6188,0.054096,0.39521,15228.80144,0.01024746,0.009423582,0.000823817,0.080392332,4.443880621,4.443880621,0
660,1.5,0,261.9551987,2,0.095199777,2,0.63,1.47,0,1555088.364,1555088.364,0,1.5,1.1,2.33E-15,0,2.33E-15,1,0,0.69615,0.63921,0.056939,0.41346,16227.84488,0.011297014,0.010373001,0.000923997,0.081791281,4.446907313,4.446907313,0
660,1.5,0,273.8414514,2,0.095199777,2,0.63,1.47,0,1696460.033,1696460.033,0,1.5,1.1,2.54E-15,0,2.54E-15,1,0,0.71812,0.65834,0.059783,0.42846,17197.021,0.012349525,0.011321487,0.00102809,0.083249318,4.44906318,4.44906318,0
660,1.5,0,285.2514509,2,0.095199777,2,0.63,1.47,0,1837831.702,1837831.702,0,1.5,1.1,2.76E-15,0,2.76E-15,1,0,0.73732,0.67516,0.062154,0.44218,18139.61056,0.013374698,0.012247139,0.001127449,0.084297184,4.442604638,4.442604638,0
660,1.5,0,296.2388756,2,0.095199777,2,0.63,1.47,0,1979203.372,1979203.372,0,1.5,1.1,2.97E-15,0,2.97E-15,1,0,0.75664,0.6919,0.064739,0.45244,19058.31122,0.014420281,0.013186446,0.001233816,0.085561165,4.4416677,4.4416677,0
660,1.5,0,306.8479983,2,0.095199777,2,0.63,1.47,0,2120575.041,2120575.041,0,1.5,1.1,3.18E-15,0,3.18E-15,1,0,0.77653,0.70877,0.067759,0.45688,19955.37516,0.015495947,0.014143771,0.001352156,0.087258702,4.446520708,4.446520708,0
660,1.5,0,327.073759,2,0.095199777,2,0.63,1.47,0,2403318.38,2403318.38,0,1.5,1.1,3.6E-15,0,3.6E-15,1,0,0.81386,0.73951,0.074354,0.46168,21691.9372,0.0176542,0.016041404,0.001612882,0.091359693,4.449793144,4.449793144,0
660,1.5,0,346.163353,2,0.095199777,2,0.63,1.47,0,2686061.719,2686061.719,0,1.5,1.1,4.03E-15,0,4.03E-15,1,0,0.85047,0.76896,0.08151,0.45973,23361.53946,0.019868288,0.017964089,0.001904199,0.095841123,4.458594344,4.458594344,0
